N,N_in,stage2_steps,ratio_u,ratio_d,T_u,T_d,final_train_loss,final_test_loss,final_train_acc,final_test_acc,best_test_acc,best_epoch
20,18,12,0.0,1.0,0.0,2.0,0.2517511546611786,0.2686970829963684,0.9642857313156128,0.9861111044883728,0.9861111044883728,14
20,18,12,0.1,0.9,0.2,1.8,0.29858702421188354,0.3060484528541565,0.8273809552192688,0.8611111044883728,0.8888888955116272,17
20,18,12,0.2,0.8,0.4,1.6,0.2726593613624573,0.28199848532676697,0.8452380895614624,0.8472222089767456,0.9027777910232544,16
20,18,12,0.3,0.7,0.6,1.4,0.23272274434566498,0.25065383315086365,0.9047619104385376,0.9305555820465088,0.9305555820465088,13
20,18,12,0.4,0.6,0.8,1.2,0.25873544812202454,0.27265438437461853,0.8809524178504944,0.9166666865348816,0.9166666865348816,20
20,18,12,0.5,0.5,1.0,1.0,0.2372613251209259,0.26053357124328613,0.9047619104385376,0.9305555820465088,0.9305555820465088,19
20,18,12,0.6,0.4,1.2,0.8,0.2358987033367157,0.2578926086425781,0.9047619104385376,0.9305555820465088,0.9305555820465088,12
20,18,12,0.7,0.30000000000000004,1.4,0.6000000000000001,0.21319857239723206,0.2343643456697464,0.9285714626312256,0.9583333134651184,0.9722222089767456,18
20,18,12,0.8,0.19999999999999996,1.6,0.3999999999999999,0.2338518500328064,0.25162121653556824,0.898809552192688,0.9305555820465088,0.9305555820465088,20
20,18,12,0.9,0.09999999999999998,1.8,0.19999999999999996,0.21352650225162506,0.22877676784992218,0.9345238208770752,0.9305555820465088,0.9305555820465088,18
20,18,12,1.0,0.0,2.0,0.0,0.5,0.5,0.5178571343421936,0.4583333432674408,0.4583333432674408,1
20,18,20,0.0,1.0,0.0,2.0,0.27983924746513367,0.29176488518714905,0.8214285969734192,0.8472222089767456,0.8472222089767456,20
20,18,20,0.1,0.9,0.2,1.8,0.2736407220363617,0.285441517829895,0.875,0.8888888955116272,0.8888888955116272,20
20,18,20,0.2,0.8,0.4,1.6,0.2308504730463028,0.25205937027931213,0.910714328289032,0.9166666865348816,0.9305555820465088,15
20,18,20,0.3,0.7,0.6,1.4,0.2503693401813507,0.2683556377887726,0.8809524178504944,0.9027777910232544,0.9305555820465088,11
20,18,20,0.4,0.6,0.8,1.2,0.22506223618984222,0.2433265596628189,0.9047619104385376,0.9305555820465088,0.9305555820465088,9
20,18,20,0.5,0.5,1.0,1.0,0.23782265186309814,0.25488847494125366,0.9166666865348816,0.9027777910232544,0.9027777910232544,19
20,18,20,0.6,0.4,1.2,0.8,0.23049986362457275,0.248409241437912,0.8571428656578064,0.8611111044883728,0.8611111044883728,20
20,18,20,0.7,0.30000000000000004,1.4,0.6000000000000001,0.2370501011610031,0.2583087980747223,0.9166666865348816,0.944444477558136,0.944444477558136,19
20,18,20,0.8,0.19999999999999996,1.6,0.3999999999999999,0.24985572695732117,0.26702335476875305,0.9166666865348816,0.9166666865348816,0.9305555820465088,18
