epoch,global_step,loss_D,loss_G,grad_norm_D,grad_norm_G,discriminator_updates,generator_updates,V_trace,V_direct_success,accuracy,z_real,z_fake,output_mass_real,output_mass_fake,leakage_real,leakage_fake,fidelity_mean_states,trace_distance_mean_states,hellinger_mean_states,total_variation_mean_states,purity_real_mean_state,purity_fake_mean_state,trace_drift_max,trace_imag_max,hermiticity_drift_max,min_eigenvalue,autoencoder_reconstruction_mse,generated_mean_image_mse,generated_image_pixel_variance,real_image_pixel_variance,generated_latent_effective_dimensions,epoch_seconds,peak_cuda_memory_mb
0,63,-0.48065469189295695,-0.0042565568453735774,0.005967786491271995,0.011893105552723956,63,189,0.5009869933128357,0.4062836468219757,0.5,0.016029853373765945,0.012081798166036606,0.8107506036758423,0.8104358911514282,0.1892494261264801,0.1895640790462494,0.7242440119388015,0.33857113662846133,0.14973111481923995,0.15916864690530738,0.7862093901324866,0.6612984462073416,1.243439328391105e-06,3.548426707414981e-09,2.2376284673308974e-08,-5.455895867060346e-08,0.005397025495767593,0.017507610842585564,0.027856120839715004,0.05026673525571823,60.372314453125,57.83193989999927,319.767578125
1,126,-0.4831896552017757,-0.03173368647891693,0.007768077280608908,0.045256808498706766,63,189,0.5023912787437439,0.41351619362831116,0.5,0.0636325478553772,0.05406741797924042,0.8226592540740967,0.8218404054641724,0.17734073102474213,0.17815962433815002,0.6868433285432528,0.40248935184251433,0.20464567152729105,0.22558394569420226,0.7348234987657772,0.6372414831045755,3.3783358048822265e-06,5.058240102164338e-09,2.989313350190229e-08,-5.062711007739434e-08,0.00596168078482151,0.033994823694229126,0.03616045415401459,0.06231209635734558,59.05911636352539,57.80788010000106,370.814453125
2,189,-0.48706380810056416,-0.07345462298740155,0.010705819944777185,0.10207443156097301,63,189,0.5057434439659119,0.4222320318222046,0.5,0.11770429462194443,0.09473060071468353,0.833759605884552,0.8321948051452637,0.166240394115448,0.16780519485473633,0.7181382833345317,0.35469488163217355,0.15527069313725336,0.17715290944206297,0.750352979870677,0.6390716908163334,3.012712113559246e-06,4.417240227240493e-09,2.4254651075425404e-08,-5.406771861038724e-08,0.0054005468264222145,0.009182106703519821,0.030894899740815163,0.05037471279501915,59.85903549194336,59.280511599998135,372.94140625
3,252,-0.49174982498562525,-0.11101055496111117,0.013951125554740429,0.16583480043386026,63,189,0.5126094818115234,0.4343682825565338,0.5,0.17629295587539673,0.12585511803627014,0.8451632857322693,0.841871976852417,0.1548367142677307,0.15812799334526062,0.7058375234704282,0.38499695018601776,0.17665409495200235,0.20768507104024062,0.8004354308641486,0.6008673598236801,1.8607688616611995e-06,4.040860166875521e-09,2.1721988524665314e-08,-3.4181480076937373e-08,0.005571294575929642,0.015197008848190308,0.040346331894397736,0.04985051974654198,59.06804275512695,54.551155400000425,372.94140625
4,315,-0.4967310263050927,-0.14039278972558875,0.016790171449501363,0.2365992472916053,63,189,0.5132206678390503,0.43952232599258423,0.5,0.20969289541244507,0.1568101942539215,0.8539988994598389,0.8512078523635864,0.14600110054016113,0.14879217743873596,0.6902904798282938,0.3819777382025292,0.17326663604163453,0.20072724999800604,0.7014780787245729,0.623020915101271,1.4164870663080364e-06,4.531736125246155e-09,2.7024407179182225e-08,-4.047538086573713e-08,0.007609569001942873,0.015618328005075455,0.03428056091070175,0.05898834019899368,58.9728889465332,54.11733530000129,372.94140625
5,378,-0.5015346336932409,-0.16340411198202265,0.019046023000209106,0.303752295318104,63,189,0.5152143836021423,0.4459027647972107,0.5,0.2288692742586136,0.1680118441581726,0.8628184795379639,0.8599351644515991,0.13718149065971375,0.14006486535072327,0.7057937891574999,0.3457703243868875,0.14078690644561526,0.16219626726236852,0.7027178127244351,0.6387771314135999,2.21864138438832e-06,2.9574263988273175e-09,2.98059601444849e-08,-5.110892259096579e-08,0.009559440426528454,0.009229973889887333,0.0372542142868042,0.059095509350299835,59.80744934082031,58.663245600000664,372.94140625
6,441,-0.5061043467786577,-0.18826512401066128,0.020854014075464673,0.35805163181648053,63,189,0.5234935283660889,0.45865485072135925,0.5,0.2982386350631714,0.2042645514011383,0.8724135160446167,0.8682318329811096,0.1275864541530609,0.13176816701889038,0.728843252135616,0.3569578386576821,0.16801606926767707,0.18207256413065492,0.750960422561335,0.6516798437561728,7.533587904617889e-07,4.223095194724746e-09,3.1883349211185593e-08,-3.765078554985432e-08,0.007077061105519533,0.009806658141314983,0.03207889199256897,0.05501268804073334,60.33815002441406,57.50939429999926,372.94140625
7,504,-0.511064730939411,-0.2094094511220064,0.02317843550727481,0.41650801849743674,63,189,0.5305821299552917,0.4696597456932068,0.5,0.3290255665779114,0.2066970318555832,0.8805416822433472,0.875768780708313,0.11945835500955582,0.12423121929168701,0.7118724129967033,0.3582700474316117,0.1618382370940433,0.17419030191307855,0.7615111341124292,0.6314606587203422,1.066528056981042e-06,1.4110414156554008e-09,1.6083862668993457e-08,-4.225007003258998e-08,0.005988140590488911,0.015226650983095169,0.030709991231560707,0.049457333981990814,60.800193786621094,54.98056849999921,372.94140625
8,567,-0.5153742981335473,-0.2194805326600554,0.02606006853637241,0.4756673533449728,63,189,0.5275388360023499,0.47035884857177734,0.5,0.35563045740127563,0.2454751580953598,0.887732982635498,0.8835471868515015,0.11226699501276016,0.11645281314849854,0.7214833885605331,0.35219487207529143,0.1702563879193348,0.20536325743711026,0.746923143505563,0.6718020526601107,1.1995307431789115e-06,4.5115684929250555e-09,1.69950421814757e-08,-3.167087879561061e-08,0.0049331216141581535,0.011504411697387695,0.03091166354715824,0.05432266369462013,59.298152923583984,53.945971199998894,375.068359375
9,630,-0.5195047032265436,-0.23726876300794106,0.02726433869628679,0.5238496494040918,63,189,0.5316844582557678,0.47746357321739197,0.5,0.3667526841163635,0.24001485109329224,0.8939953446388245,0.8891211152076721,0.10600469261407852,0.11087889224290848,0.7177169168934208,0.34511918740644615,0.14896627311363958,0.16557160093560988,0.7196033117122483,0.6359649264828718,8.988909030449577e-07,3.835743896769481e-09,2.089030700953367e-08,-4.207035176261113e-08,0.005674008280038834,0.011999712325632572,0.03132755681872368,0.056460991501808167,59.47309875488281,53.43760750000001,375.068359375
10,693,-0.5231699858392987,-0.2569978442141619,0.029391459647625212,0.5670806655177364,63,189,0.5436757802963257,0.4933520257472992,0.5,0.44898155331611633,0.2742784023284912,0.902260422706604,0.89644455909729,0.0977395623922348,0.10355543345212936,0.7353422654127849,0.35550660892936525,0.17168405880509416,0.20971487347406392,0.8185391698696508,0.6547062307316107,1.9680155673995614e-06,5.146817919771118e-09,1.867876492452955e-08,-3.567678801487903e-08,0.004223042633384466,0.019438892602920532,0.03172137960791588,0.04785771667957306,60.19725036621094,53.771824699997524,375.068359375
11,756,-0.5271009575752985,-0.2657280364837596,0.03084845007175491,0.6090697188856741,63,189,0.5360983610153198,0.48782873153686523,0.5,0.4370673596858978,0.29267382621765137,0.9059842824935913,0.900937020778656,0.09401573240756989,0.0990629717707634,0.7223937166109118,0.319668984682214,0.14466829241494736,0.15540160843444345,0.7591099951358705,0.6136528628385338,8.79768322192831e-07,5.278237491610632e-09,1.2249635940385894e-08,-3.348038831208844e-08,0.006505867000669241,0.011394867673516273,0.03746385872364044,0.05570176988840103,60.31338882446289,54.22250840000197,375.068359375
12,819,-0.5301864856765384,-0.2670572088666694,0.03208029092777343,0.6474028292787138,63,189,0.549110472202301,0.5034825801849365,0.5,0.46513429284095764,0.2686924338340759,0.9113706350326538,0.9061179161071777,0.088629350066185,0.09388207644224167,0.7166183030983951,0.39011581977824156,0.19168273752900605,0.21520396979381312,0.7694516835249428,0.6362922724565558,2.6951811378239654e-06,3.4920511187558345e-09,1.3845105420163373e-08,-2.668723768233962e-08,0.006100371014326811,0.021251020953059196,0.02994058094918728,0.05564378201961517,59.03901290893555,54.46914509999988,375.068359375
13,882,-0.5329226350027417,-0.27348495002776857,0.03302894653900275,0.6860422835778938,63,189,0.5372865200042725,0.49419254064559937,0.5,0.45555418729782104,0.3064081072807312,0.9162861704826355,0.9113377928733826,0.0837138444185257,0.08866218477487564,0.7315013519434056,0.32374988584333453,0.14476811171820517,0.16680322864830122,0.7412366100977024,0.6563876157103615,3.1925173971103504e-06,4.317802048195429e-09,1.3051502358909828e-08,-1.681820152994421e-08,0.005140069872140884,0.015816448256373405,0.03179798647761345,0.058528535068035126,60.089561462402344,54.39217949999875,375.068359375
14,945,-0.5356798550439259,-0.27321870569829587,0.033754015814453836,0.71506725858759,63,189,0.5526484251022339,0.5117222666740417,0.5,0.4768630564212799,0.26626938581466675,0.9208402633666992,0.9154551029205322,0.07915977388620377,0.08454490453004837,0.7323646639064391,0.3700468993629408,0.18076122744123416,0.197362441817953,0.7901520648453342,0.6524786249329417,7.82671122578904e-07,6.7325677489613045e-09,1.21161451854349e-08,-2.1543519154243416e-08,0.005503615364432335,0.015959259122610092,0.034717708826065063,0.048814382404088974,59.38882064819336,53.89313679999759,377.1953125
15,1008,-0.5373544815986876,-0.2804164142993392,0.03517427851283361,0.7454647295689457,63,189,0.549552321434021,0.5102598667144775,0.5,0.47980764508247375,0.28159838914871216,0.9237044453620911,0.9191258549690247,0.07629555463790894,0.08087415993213654,0.7266519190527043,0.35546933463464747,0.16000931518499553,0.17933532147293685,0.7266121963411943,0.6343213179252327,1.2256296031409875e-06,2.888407095967549e-09,1.1191018874491805e-08,-3.481059919836304e-08,0.005194874480366707,0.010723840445280075,0.034249648451805115,0.05757923796772957,59.617733001708984,54.0885191999987,377.1953125
16,1071,-0.5397379152358525,-0.285261501947408,0.03617052225366471,0.76663304447497,63,189,0.5469964146614075,0.5094443559646606,0.5,0.4620576500892639,0.27407190203666687,0.9264346361160278,0.9233571290969849,0.07356537133455276,0.07664289325475693,0.6949511095183726,0.40720960722024085,0.19804485105769346,0.2194489578542985,0.7288922042385693,0.6611016457451558,1.6855834701345884e-06,2.3941325551831566e-09,1.338523100298346e-08,-3.45571345236799e-08,0.006998066790401936,0.024115994572639465,0.031910259276628494,0.05521739274263382,60.188350677490234,54.59626180000123,377.1953125
17,1134,-0.5429905898987301,-0.2805009420428957,0.036567359068800535,0.7997265543256488,63,189,0.5382990837097168,0.502697229385376,0.5,0.481073796749115,0.32787758111953735,0.9309883117675781,0.926604151725769,0.06901167333126068,0.07339580357074738,0.7123333468332137,0.33938152326670423,0.159521214861592,0.17682007795174337,0.7608384740434198,0.6431716521112024,1.5793521015439183e-06,5.199450903354587e-09,7.580416554631528e-09,-2.1693963514708412e-08,0.005488600581884384,0.013004564680159092,0.03449587896466255,0.05132221430540085,60.40312576293945,54.103750400001445,377.1953125
18,1197,-0.545589148052155,-0.2861877567869015,0.03741765788031949,0.8119887741154463,63,189,0.5547952651977539,0.5203056335449219,0.5,0.4696592390537262,0.25047826766967773,0.933495283126831,0.9285463094711304,0.06650475412607193,0.07145366817712784,0.6967815085671174,0.3657946164322489,0.16619820490056308,0.1854516722699533,0.7266382563618352,0.6042713978393639,8.659344530315138e-07,1.3791182774773592e-09,8.43348460098488e-09,-2.356810790012815e-08,0.005448868032544851,0.01200313214212656,0.042823709547519684,0.05705036222934723,59.676353454589844,54.136602599999605,377.1953125
19,1260,-0.5456451508733962,-0.28683894841128554,0.03815312630363873,0.831197375027591,63,189,0.5590563416481018,0.526775598526001,0.5,0.5547060370445251,0.31848061084747314,0.9382184743881226,0.9326585531234741,0.061781518161296844,0.06734146177768707,0.7411292409744836,0.319252466177804,0.1369638018107737,0.151589790146421,0.802402393165181,0.6302581150481629,1.2880047677299444e-06,4.074200131345268e-09,1.0464435934202853e-08,-2.727611229150639e-08,0.005912981927394867,0.013967366889119148,0.03668826073408127,0.046464305371046066,60.4585075378418,54.30825160000313,377.1953125
20,1323,-0.5473970487004235,-0.2932734684180961,0.038274325903445955,0.8475665166264489,63,189,0.5411673188209534,0.5095556974411011,0.5,0.4482969045639038,0.28362756967544556,0.9378732442855835,0.9356801509857178,0.0621267631649971,0.06431987136602402,0.7021960482659272,0.3494767256078762,0.15985459791172904,0.18763512506946273,0.6833683764302645,0.6478347881678639,1.9808239812846296e-06,1.810825123855185e-09,9.454759072627384e-09,-1.9085045113808293e-08,0.005205993074923754,0.012181194499135017,0.0349472276866436,0.06333012878894806,60.284114837646484,55.1722477000003,377.1953125
21,1386,-0.5492256908189683,-0.2892407514746227,0.03989591762896568,0.8564278145946523,63,189,0.5323419570922852,0.5020216107368469,0.5,0.45975345373153687,0.3303855061531067,0.9398710131645203,0.9388474822044373,0.06012899428606033,0.06115251034498215,0.6980002022814356,0.3857106008996916,0.17872172276815276,0.20876110457966504,0.6808112145668164,0.6778900868175184,6.692025635857135e-07,3.0724529899439634e-09,6.585445079827193e-09,-1.944250916176997e-08,0.007153997663408518,0.016858374699950218,0.027216684073209763,0.05670604482293129,59.34208297729492,54.41723460000139,377.1953125
22,1449,-0.5510279725468348,-0.28801950063339615,0.040032489668755306,0.8749503751911184,63,189,0.5673786401748657,0.5389178991317749,0.5,0.5273043513298035,0.2577897310256958,0.9450891017913818,0.9410677552223206,0.054910920560359955,0.05893224477767944,0.7134784613205092,0.37206313687010495,0.1685487834300182,0.19658155099206254,0.744251293317808,0.6502715278766892,2.463638111294131e-06,1.5884363811259627e-09,1.0212749335664003e-08,-1.4350408971363124e-08,0.006370993796736002,0.02707718312740326,0.027922512963414192,0.06179279088973999,59.890724182128906,53.9404661999979,377.1953125
23,1512,-0.5510710733277457,-0.2899709947052456,0.039899045039737034,0.8872772899885026,63,189,0.5552000999450684,0.5276568531990051,0.5,0.5318913459777832,0.311090886592865,0.9463196992874146,0.9435070753097534,0.05368024855852127,0.056492917239665985,0.717340887291468,0.3395253931106884,0.1543625108362157,0.16198529748282153,0.7267578817314433,0.6423707630096904,5.071124178357422e-07,4.1275164847391285e-09,8.699270753315373e-09,-1.9280008089675107e-08,0.006627608090639114,0.011483459733426571,0.03056314028799534,0.057915180921554565,60.39601516723633,54.001840599998104,377.1953125
24,1575,-0.5528227866642059,-0.30229427149056126,0.041175659213747294,0.8941898806385262,63,189,0.5573428869247437,0.5308743119239807,0.5,0.5469791293144226,0.3176075220108032,0.9484403133392334,0.9456852078437805,0.05155963450670242,0.05431479960680008,0.7222621018481529,0.3622972108495527,0.18199738687467046,0.19725867470147784,0.777185761441981,0.6412365065855705,8.099622839097265e-07,3.970527362624765e-09,1.5047778032772733e-08,-1.1432992029193204e-08,0.00674695149064064,0.027617663145065308,0.036194268614053726,0.05441494658589363,59.96659469604492,54.4733419999975,377.1953125
25,1638,-0.5544560532721262,-0.3031183910117578,0.04129877047879355,0.9060555125670459,63,189,0.5482431650161743,0.5229601263999939,0.5,0.5290510058403015,0.3360782861709595,0.9503084421157837,0.9485594034194946,0.049691587686538696,0.05144056677818298,0.7409389321925774,0.33253387765955167,0.1507161016952523,0.16697998554945864,0.7409818247340774,0.6740289317617859,4.906733011011966e-07,3.6500005616687745e-09,7.916241884231567e-09,-1.5001398066895695e-08,0.006195189896970987,0.012071204371750355,0.032810695469379425,0.05331438407301903,59.939666748046875,54.82642889999988,379.322265625
26,1701,-0.5550084501977951,-0.3061645701133385,0.04242997841229514,0.9143758457173746,63,189,0.5648910999298096,0.5404757261276245,0.5,0.5556943416595459,0.29613006114959717,0.952826976776123,0.9495118260383606,0.047172993421554565,0.050488173961639404,0.7022622855303257,0.3925350313701296,0.19029614991134766,0.2158220579180555,0.7522742953662345,0.6361574112104535,6.026693881722167e-07,2.3928443900790575e-09,5.37531281850077e-09,-1.129429352057646e-08,0.006424744613468647,0.02690734528005123,0.032080523669719696,0.05595778673887253,58.376426696777344,55.13396669999929,379.322265625
27,1764,-0.5562711358070374,-0.30698728766390887,0.042088820702499814,0.9279497760944265,63,189,0.5693416595458984,0.5459156036376953,0.5,0.5816440582275391,0.3042774200439453,0.9552353620529175,0.9510603547096252,0.04476461559534073,0.04893961548805237,0.6910173945544288,0.3998565832307523,0.20249527764469344,0.24482622038134488,0.7773213361542406,0.624485525717025,4.912944859825075e-07,2.081319104368061e-09,1.3071735247614047e-08,-1.5801532282704427e-08,0.004675273783504963,0.01631385087966919,0.03259124606847763,0.04841474071145058,58.56789016723633,54.16352570000163,379.322265625
28,1827,-0.5571880245965625,-0.3082239317200171,0.041860059169786315,0.9420042015888073,63,189,0.5870679020881653,0.5645025968551636,0.5,0.5792361497879028,0.23096445202827454,0.9565372467041016,0.9532016515731812,0.04346279054880142,0.046798333525657654,0.6903637626180309,0.3916165420473993,0.17999662124844368,0.19679614612968893,0.7454182127129585,0.6325009836297384,9.410105121787637e-07,2.1328095513653555e-09,4.266690035686473e-09,-1.4721637131716923e-08,0.007010740227997303,0.02323213405907154,0.029755687341094017,0.05995706096291542,59.55423355102539,54.42282129999876,379.322265625
29,1890,-0.5591234451248532,-0.29488839106584985,0.04232745889633421,0.9559879287210091,63,189,0.5618138313293457,0.5400978326797485,0.5,0.5292248129844666,0.2819695472717285,0.9579567909240723,0.9551793336868286,0.042043231427669525,0.044820643961429596,0.724858493209603,0.3266904919759218,0.14267312866890697,0.1693476828434738,0.7190282283116561,0.6387205431414504,1.6600115486653522e-06,1.466308104233413e-09,5.122604875055095e-09,-8.584466303308382e-09,0.004907638765871525,0.008946940302848816,0.032256659120321274,0.05504833906888962,60.25075149536133,54.780234000001656,379.322265625
30,1953,-0.5586197461400714,-0.3006161612177652,0.0433276141328471,0.955144103872713,63,189,0.5553683042526245,0.5345015525817871,0.5,0.5368978977203369,0.31542468070983887,0.9593997001647949,0.9571333527565002,0.04060031473636627,0.04286668449640274,0.6991229222826096,0.38741483098858204,0.19722434708224126,0.2178119706989271,0.721407126122928,0.6549595673074751,1.2063464964739978e-06,1.6268632966384006e-09,6.556570455585012e-09,-9.777626319858087e-09,0.0061308108270168304,0.015381399542093277,0.03404528647661209,0.05394637584686279,59.71429443359375,54.492885300001944,379.322265625
31,2016,-0.5605576170815362,-0.30640401553224633,0.043589357818876,0.9599100076963031,63,189,0.5553861856460571,0.5354487895965576,0.5,0.5616337060928345,0.3400890827178955,0.9611196517944336,0.9591308832168579,0.03888039290904999,0.04086910933256149,0.7426129142425114,0.35865848102167525,0.1747636012763704,0.18466950067878202,0.7678708673424401,0.6907757057974073,1.09545453597093e-06,2.5432063802989513e-09,5.18669127718207e-09,-2.167202484146602e-08,0.004297934006899595,0.017255257815122604,0.031063860282301903,0.050768494606018066,60.504425048828125,54.21963500000129,379.322265625
32,2079,-0.5607615586311098,-0.28620516221043923,0.043095115749608906,0.9767277757957499,63,189,0.5608935356140137,0.54151850938797,0.5,0.5315202474594116,0.28794610500335693,0.9619386196136475,0.9605612754821777,0.03806138038635254,0.039438746869564056,0.7190878472663778,0.35408025911014374,0.1599722397022476,0.1731456905026219,0.7213476252277772,0.670589818179512,6.303580448729917e-07,2.9465622034875218e-09,6.071480368452751e-09,-1.2635799300336592e-08,0.00690867006778717,0.012572472915053368,0.02850540727376938,0.05849611386656761,59.64227294921875,54.33656409999821,379.322265625
33,2142,-0.5610351808487423,-0.29552979964427845,0.04338118634999744,0.9869959013802665,63,189,0.5726418495178223,0.5536775588989258,0.5,0.5109904408454895,0.2204229235649109,0.9626914262771606,0.9614511728286743,0.037308573722839355,0.038548849523067474,0.6884259408560817,0.40120998694543614,0.18496389172341035,0.20752072134967636,0.7055282428012384,0.6197183041794339,6.168543222884182e-07,1.8260210235153049e-09,6.159088450638117e-09,-1.1071546474488546e-08,0.006403426639735699,0.012997756712138653,0.03869016841053963,0.05331917479634285,59.95329666137695,55.441651599998295,379.322265625
34,2205,-0.562350729155162,-0.29922606650168304,0.044436551334839015,0.990347149510863,63,189,0.5526450872421265,0.5346624255180359,0.5,0.5560042858123779,0.3454239070415497,0.9647091627120972,0.9633601903915405,0.03529085963964462,0.036639802157878876,0.7138680655666811,0.3499630385023739,0.16116654887736132,0.188460409035145,0.7107872348017138,0.6679960894640711,1.1499324727992644e-06,2.4202315377502837e-09,3.848754627354569e-09,-1.3240085733559218e-08,0.006803139112889767,0.012264208868145943,0.028437791392207146,0.058463916182518005,58.586299896240234,54.636536300000444,379.322265625
35,2268,-0.5623684061898125,-0.3032532146683446,0.04450642169704513,1.0022038596647758,63,189,0.5857763886451721,0.5683598518371582,0.5625,0.5954276323318481,0.2523220479488373,0.9664143323898315,0.9639196395874023,0.03358565270900726,0.03608036786317825,0.725411017420325,0.3612470769039251,0.17163784571300178,0.18789935218039178,0.7752845561190869,0.6367173281826376,1.3305656239026575e-06,1.8619948532246772e-09,4.861646568826656e-09,-1.4426478561297579e-08,0.005910645704716444,0.024693254381418228,0.03087344579398632,0.05437272787094116,59.22640609741211,54.012322399998084,379.322265625
36,2331,-0.5640551646550497,-0.296821957700467,0.04476488334318948,1.0097470201512493,63,189,0.5548657774925232,0.538173496723175,0.5,0.5173882842063904,0.29792508482933044,0.9671481251716614,0.9660826921463013,0.03285188227891922,0.03391735255718231,0.7168660640845967,0.3429954993269059,0.16643282175413981,0.18520545973390412,0.7067280414079449,0.6767992729668612,1.3706726349482778e-06,1.3979013120939566e-09,3.6813757151462828e-09,-1.1986393550612767e-08,0.006291350349783897,0.010764192789793015,0.02980252169072628,0.05649707093834877,59.84498977661133,54.091795000000275,379.322265625
37,2394,-0.564442271278018,-0.3022462003445499,0.04374091681979951,1.0060837054378773,63,189,0.5750593543052673,0.5590958595275879,0.5,0.5993604063987732,0.2991229295730591,0.9695322513580322,0.9666135311126709,0.030467741191387177,0.033386461436748505,0.7111306151887407,0.3845322529037208,0.20134828632500612,0.2300770427628348,0.7854491864443632,0.6218951984843439,1.6821481949591544e-06,2.0874139062231067e-09,4.423782229423523e-09,-8.794600189479426e-09,0.005547668319195509,0.017936119809746742,0.032575517892837524,0.046837661415338516,59.096580505371094,54.47719219999999,379.322265625
38,2457,-0.563770868475475,-0.3006216274209754,0.044174155723007896,1.0084775679956668,63,189,0.5717905759811401,0.5564093589782715,0.5,0.5835235714912415,0.29636138677597046,0.9703158140182495,0.9681593179702759,0.029684163630008698,0.03184070438146591,0.7178376634778527,0.35880738503567994,0.1692189366804403,0.19945988644903595,0.753494076646111,0.6350020418092575,1.094252638722537e-06,1.4721375422941524e-09,3.958120942115784e-09,-7.586335104431526e-09,0.005351369269192219,0.019566548988223076,0.032800108194351196,0.05696713924407959,61.13469696044922,55.01171059999979,379.322265625
