epoch,global_step,loss_D,loss_G,grad_norm_D,grad_norm_G,discriminator_updates,generator_updates,V_trace,V_direct_success,accuracy,z_real,z_fake,output_mass_real,output_mass_fake,leakage_real,leakage_fake,fidelity_mean_states,trace_distance_mean_states,hellinger_mean_states,total_variation_mean_states,purity_real_mean_state,purity_fake_mean_state,trace_drift_max,trace_imag_max,hermiticity_drift_max,min_eigenvalue,autoencoder_reconstruction_mse,generated_mean_image_mse,generated_image_pixel_variance,real_image_pixel_variance,generated_latent_effective_dimensions,epoch_seconds,peak_cuda_memory_mb
0,63,-0.509537615946361,-0.21685625812797635,0.02931551475610052,1.2634484843602256,63,189,0.5377561450004578,0.5377562046051025,0.5,0.6281061172485352,0.4770814776420593,1.0,1.0000001192092896,-1.4901161193847656e-08,-1.043081283569336e-07,0.7446637739495764,0.33893636544405387,0.15549744188716144,0.18087354874703074,0.7862093901324866,0.6378737718452576,1.747248461470008e-07,2.025952159593475e-08,3.162385308435121e-08,-3.938100597552355e-08,0.005397025495767593,0.01609916053712368,0.032998062670230865,0.05026673525571823,60.8671760559082,10.189199599997664,104.63720703125
1,126,-0.5277208818329705,-0.5455878998236682,0.042272786417650796,1.1364061703126898,63,189,0.529636025428772,0.5296360850334167,0.5,0.6616751551628113,0.5431310534477234,1.000000238418579,1.0000001192092896,-1.341104507446289e-07,-1.1920928955078125e-07,0.7181266182991743,0.3607063297872104,0.171925653697965,0.19631913704630743,0.7348234987657772,0.6406519924542833,2.136905550287338e-07,3.201491976471266e-08,2.634178031930877e-08,-4.336934421602253e-08,0.00596168078482151,0.024460719898343086,0.035418666899204254,0.06231209635734558,59.745994567871094,10.3416864000028,104.63720703125
2,189,-0.5359707843689692,-0.557732486851001,0.039570448949696524,1.1017781978561765,63,189,0.5368824005126953,0.5368824601173401,0.5,0.7008280158042908,0.5532984733581543,1.0000001192092896,1.000000238418579,-1.043081283569336e-07,-1.6391277313232422e-07,0.7369592180045419,0.3531679231062975,0.16485823264693392,0.19395321697876225,0.750352979870677,0.6437154998074524,3.0445880838669837e-07,1.8520354274492723e-08,2.634178031930877e-08,-4.245854776534962e-08,0.0054005468264222145,0.010005442425608635,0.033933237195014954,0.05037471279501915,60.51821517944336,10.243157000000792,104.63720703125
3,252,-0.5425936362100026,-0.5430308622973306,0.04053327547652381,1.1245921446532798,63,189,0.5630415081977844,0.5630415081977844,0.5,0.7655548453330994,0.5133888721466064,1.0,1.0,-2.2351741790771484e-08,-4.470348358154297e-08,0.7250706908633427,0.3753046451523246,0.189239379700458,0.21596247025807155,0.8004354308641486,0.6380091047050763,1.89291313290596e-07,1.0313990453370003e-08,2.634178031930877e-08,-4.549180778873835e-08,0.005571294575929642,0.017200559377670288,0.034699246287345886,0.04985051974654198,58.65256881713867,10.133878300002834,104.63720703125
4,315,-0.5460164177985418,-0.5318796174236076,0.039565192565085394,1.1304717347735451,63,189,0.549832820892334,0.5498328804969788,0.5,0.7029540538787842,0.503622829914093,1.000000238418579,1.0000001192092896,-1.4901161193847656e-07,-1.1920928955078125e-07,0.7205000113933429,0.3692818652795723,0.1654697800617251,0.19087769134038068,0.7014780787245729,0.6530542699453059,2.709421096369624e-07,1.9671497430984175e-08,2.6080215126424288e-08,-5.271086919089263e-08,0.007609569001942873,0.014784484170377254,0.02997567318379879,0.05898834019899368,59.93883514404297,10.458425000000716,104.63720703125
5,378,-0.5462936295403374,-0.5173898591566338,0.03925836789939138,1.1274763541246848,63,189,0.5243769884109497,0.5243769884109497,0.5,0.6907854676246643,0.5932774543762207,1.0,1.0,2.9802322387695312e-08,-2.9802322387695312e-08,0.7257260555822332,0.3340825652331595,0.1468416592380949,0.16226136514216838,0.7027178127244351,0.6577207237118118,1.6293779481202364e-07,3.379724756655267e-08,2.7120522742273353e-08,-4.928365866955753e-08,0.009559440426528454,0.012456759810447693,0.028751766309142113,0.059095509350299835,59.9171142578125,10.309822399998666,104.63720703125
6,441,-0.5483189565794808,-0.5318289132660659,0.039223287845887835,1.1261762144073608,63,189,0.5518459677696228,0.5518459677696228,0.5,0.7435849905014038,0.5362011194229126,1.0,1.0,-2.2351741790771484e-08,-5.960464477539063e-08,0.713165682076422,0.35812857702431616,0.1737144945481444,0.19950320786970333,0.750960422561335,0.6378966206106862,1.486405381001532e-07,4.55915563227563e-08,2.980800618758368e-08,-4.596955997091534e-08,0.007077061105519533,0.01415615901350975,0.03804653510451317,0.05501268804073334,59.078407287597656,10.17137989999901,104.63720703125
7,504,-0.5500349099673922,-0.5407252683841363,0.038295157431137,1.104912586943813,63,189,0.5625497698783875,0.5625497698783875,0.5,0.752582848072052,0.5023837089538574,1.0,1.0,-4.470348358154297e-08,-5.960464477539063e-08,0.7101570135979955,0.3804461680391049,0.19163475637002614,0.20989350984495553,0.7615111341124292,0.637050086588363,1.5958084986777976e-07,2.0912296084044102e-08,2.837096566656198e-08,-5.003148659811107e-08,0.005988140590488911,0.018911609426140785,0.034479640424251556,0.049457333981990814,58.97997283935547,10.17679770000177,104.63720703125
8,567,-0.5522690500531878,-0.5158717301156786,0.03991684240717736,1.1305265309949402,63,189,0.564289391040802,0.5642894506454468,0.5,0.7271170616149902,0.46995943784713745,1.0000001192092896,1.0,-1.1920928955078125e-07,-5.21540641784668e-08,0.7177575768534448,0.36205316531938225,0.16950745811962967,0.19476469952378261,0.746923143505563,0.656518855529053,1.6912235878407955e-07,1.0320671393893033e-08,3.514431838712321e-08,-5.1181298059248746e-08,0.0049331216141581535,0.019117170944809914,0.027018098160624504,0.05432266369462013,60.084259033203125,10.34519039999941,104.63720703125
9,630,-0.5514194662608798,-0.5114219597092381,0.03874878047241105,1.125766721036699,63,189,0.5519809722900391,0.5519810914993286,0.5,0.742398738861084,0.5344747304916382,1.000000238418579,1.000000238418579,-1.9371509552001953e-07,-1.7881393432617188e-07,0.7092232551845654,0.3468014126226006,0.16449586615554077,0.1854192765252149,0.7196033117122483,0.6304168744187406,2.9604416340589523e-07,2.5081889357125853e-08,2.989313350190229e-08,-4.6445506109295175e-08,0.005674008280038834,0.01125606894493103,0.03692954033613205,0.056460991501808167,59.949039459228516,10.25293160000001,104.63720703125
