target_p,model,seed,candidate,variant,shots_per_pauli,repetitions,true_witness_expectation,theoretical_standard_error,mean_estimate,empirical_standard_deviation,certification_probability
0.6,qsnn,20,q0_m90_d2_g5,best_ema,100,2000,-0.12811771001804154,0.025566381763157647,-0.12801477452545573,0.02455746754528597,0.999
0.6,qsnn,20,q0_m90_d2_g5,best_ema,500,2000,-0.12811771001804154,0.011433633512226284,-0.12795240414569026,0.011594844931239913,1.0
0.6,qsnn,20,q0_m90_d2_g5,best_ema,1000,2000,-0.12811771001804154,0.008084799790096967,-0.1280302578726668,0.008085147191224872,1.0
0.6,qsnn,20,q0_m90_d2_g5,best_ema,5000,2000,-0.12811771001804154,0.0036156323830265707,-0.12823129908386455,0.0036014800388290288,1.0
0.6,qsnn,20,q0_m90_d2_g5,best_ema,10000,2000,-0.12811771001804154,0.002556638176315765,-0.12818769618158232,0.0025240188916179356,1.0
0.6,vqc,20,v0_d2_g5,best_ema,100,2000,-0.32232450138276536,0.06388370359671061,-0.32369343381930604,0.06387758582411368,0.9985
0.6,vqc,20,v0_d2_g5,best_ema,500,2000,-0.32232450138276536,0.028569660779338545,-0.3211324039263427,0.02895958726887903,1.0
0.6,vqc,20,v0_d2_g5,best_ema,1000,2000,-0.32232450138276536,0.02020180087326963,-0.3221590671493725,0.020215492179569246,1.0
0.6,vqc,20,v0_d2_g5,best_ema,5000,2000,-0.32232450138276536,0.009034520004109101,-0.3219332518005625,0.008808220676457935,1.0
0.6,vqc,20,v0_d2_g5,best_ema,10000,2000,-0.32232450138276536,0.00638837035967106,-0.32228276793820393,0.006326202605125417,1.0
0.6,qsnn,21,q0_m90_d2_g5,best_ema,100,2000,-0.07233504720279907,0.014018329640685076,-0.07233807808648343,0.013930462273115597,0.9995
0.6,qsnn,21,q0_m90_d2_g5,best_ema,500,2000,-0.07233504720279907,0.006269187601514407,-0.0722946464454128,0.006281774110390621,1.0
0.6,qsnn,21,q0_m90_d2_g5,best_ema,1000,2000,-0.07233504720279907,0.004432985065561465,-0.07237557106656962,0.004472300726218776,1.0
0.6,qsnn,21,q0_m90_d2_g5,best_ema,5000,2000,-0.07233504720279907,0.001982491189967359,-0.07230645609318243,0.0019828348798757857,1.0
0.6,qsnn,21,q0_m90_d2_g5,best_ema,10000,2000,-0.07233504720279907,0.0014018329640685073,-0.07229378108834641,0.0014399999780101923,1.0
0.6,vqc,21,v0_d2_g5,best_ema,100,2000,-0.3542311803753872,0.06570764313303373,-0.35512393719597035,0.06391358521992534,0.999
0.6,vqc,21,v0_d2_g5,best_ema,500,2000,-0.3542311803753872,0.029385351337352136,-0.35452676784563086,0.030105874207806374,1.0
0.6,vqc,21,v0_d2_g5,best_ema,1000,2000,-0.3542311803753872,0.020778581198190878,-0.3543154817964397,0.020063685873259126,1.0
0.6,vqc,21,v0_d2_g5,best_ema,5000,2000,-0.3542311803753872,0.009292464007030769,-0.35427698505397814,0.009173216264466143,1.0
0.6,vqc,21,v0_d2_g5,best_ema,10000,2000,-0.3542311803753872,0.006570764313303374,-0.35426012306193394,0.006446722674644005,1.0
0.6,qsnn,22,q0_m90_d2_g5,best_ema,100,2000,-0.23038121190716665,0.045904174528879654,-0.22949910973916696,0.04663363580044125,0.9985
0.6,qsnn,22,q0_m90_d2_g5,best_ema,500,2000,-0.23038121190716665,0.020528970939517856,-0.23036471426293975,0.021248800787647567,1.0
0.6,qsnn,22,q0_m90_d2_g5,best_ema,1000,2000,-0.23038121190716665,0.014516174562114646,-0.22993888854799577,0.014353162376899067,1.0
0.6,qsnn,22,q0_m90_d2_g5,best_ema,5000,2000,-0.23038121190716665,0.006491830618828319,-0.23025346870657257,0.006525052166774386,1.0
0.6,qsnn,22,q0_m90_d2_g5,best_ema,10000,2000,-0.23038121190716665,0.004590417452887965,-0.23037540650282642,0.004479383961777414,1.0
0.6,vqc,22,v0_d2_g5,best_ema,100,2000,-0.2922509800036958,0.05863514401454677,-0.2898478595588452,0.059767002850971224,0.9975
0.6,vqc,22,v0_d2_g5,best_ema,500,2000,-0.2922509800036958,0.0262224335774033,-0.2921547503489129,0.026557212402782533,1.0
0.6,vqc,22,v0_d2_g5,best_ema,1000,2000,-0.2922509800036958,0.01854206060179569,-0.29258624956991697,0.018826610436811057,1.0
0.6,vqc,22,v0_d2_g5,best_ema,5000,2000,-0.2922509800036958,0.008292261589707164,-0.29230624234483366,0.008440096977048329,1.0
0.6,vqc,22,v0_d2_g5,best_ema,10000,2000,-0.2922509800036958,0.005863514401454676,-0.2923255805845988,0.005883260080460233,1.0
0.6,qsnn,23,q0_m90_d2_g5,best_ema,100,2000,-0.21053187384221822,0.040843760836705045,-0.2100497077669379,0.040653635674786755,0.999
0.6,qsnn,23,q0_m90_d2_g5,best_ema,500,2000,-0.21053187384221822,0.018265885137523235,-0.21011330375706389,0.01832703486555858,1.0
0.6,qsnn,23,q0_m90_d2_g5,best_ema,1000,2000,-0.21053187384221822,0.012915931245117251,-0.21074375486611213,0.012929741844910423,1.0
0.6,qsnn,23,q0_m90_d2_g5,best_ema,5000,2000,-0.21053187384221822,0.0057761800513591345,-0.2103980123203589,0.00588123985022366,1.0
0.6,qsnn,23,q0_m90_d2_g5,best_ema,10000,2000,-0.21053187384221822,0.004084376083670504,-0.2105308286863754,0.004039341510011849,1.0
0.6,vqc,23,v0_d2_g5,best_ema,100,2000,-0.36306296608735134,0.06631254152770631,-0.3632742440941859,0.06604946463831654,0.9995
0.6,vqc,23,v0_d2_g5,best_ema,500,2000,-0.36306296608735134,0.029655870123345814,-0.3636364838482054,0.029671574150583264,1.0
0.6,vqc,23,v0_d2_g5,best_ema,1000,2000,-0.36306296608735134,0.02096986686620536,-0.3642126537667922,0.020455112670605013,1.0
0.6,vqc,23,v0_d2_g5,best_ema,5000,2000,-0.36306296608735134,0.009378009558391133,-0.3631939618688545,0.009276990305945225,1.0
0.6,vqc,23,v0_d2_g5,best_ema,10000,2000,-0.36306296608735134,0.00663125415277063,-0.36296048110670553,0.006693284619592503,1.0
0.6,qsnn,24,q0_m90_d2_g5,best_ema,100,2000,-0.1893692232907345,0.03529807292887385,-0.18892471637865255,0.03464444764031321,1.0
0.6,qsnn,24,q0_m90_d2_g5,best_ema,500,2000,-0.1893692232907345,0.015785778108741405,-0.18918822782534744,0.015996198111677695,1.0
0.6,qsnn,24,q0_m90_d2_g5,best_ema,1000,2000,-0.1893692232907345,0.011162230746997202,-0.1892651250660731,0.011187015449066397,1.0
0.6,qsnn,24,q0_m90_d2_g5,best_ema,5000,2000,-0.1893692232907345,0.0049919013461648,-0.1895083784050451,0.00496317174285835,1.0
0.6,qsnn,24,q0_m90_d2_g5,best_ema,10000,2000,-0.1893692232907345,0.003529807292887385,-0.18936629912889277,0.003539228523397655,1.0
0.6,vqc,24,v0_d2_g5,best_ema,100,2000,-0.33367923260045834,0.0648965996143324,-0.3339043414656131,0.0651363689379943,0.9995
0.6,vqc,24,v0_d2_g5,best_ema,500,2000,-0.33367923260045834,0.02902264164924678,-0.33322480200602705,0.02842192779385091,1.0
0.6,vqc,24,v0_d2_g5,best_ema,1000,2000,-0.33367923260045834,0.020522106718129523,-0.33373088293613523,0.021076386230067003,1.0
0.6,vqc,24,v0_d2_g5,best_ema,5000,2000,-0.33367923260045834,0.009177765132648546,-0.33352154305080606,0.009234420193899827,1.0
0.6,vqc,24,v0_d2_g5,best_ema,10000,2000,-0.33367923260045834,0.00648965996143324,-0.33362210537219755,0.006507115792427315,1.0
0.6,qsnn,25,q0_m90_d2_g5,best_ema,100,2000,-0.15757244306695511,0.03042146737294775,-0.15735150035711679,0.029098673574138513,0.9995
0.6,qsnn,25,q0_m90_d2_g5,best_ema,500,2000,-0.15757244306695511,0.013604893804240624,-0.15699787606014917,0.013847365108274255,1.0
0.6,qsnn,25,q0_m90_d2_g5,best_ema,1000,2000,-0.15757244306695511,0.009620112666301391,-0.1577879077379526,0.00969784223620948,1.0
0.6,qsnn,25,q0_m90_d2_g5,best_ema,5000,2000,-0.15757244306695511,0.004302245174611332,-0.15753261933488413,0.004169498100393816,1.0
0.6,qsnn,25,q0_m90_d2_g5,best_ema,10000,2000,-0.15757244306695511,0.003042146737294775,-0.1575706340435707,0.003016161396660011,1.0
0.6,vqc,25,v0_d2_g5,best_ema,100,2000,-0.2683091466457551,0.06011670285138066,-0.2681752886029204,0.060870434362703146,0.9925
0.6,vqc,25,v0_d2_g5,best_ema,500,2000,-0.2683091466457551,0.026885006831768518,-0.2684155489082352,0.027315895857258386,1.0
0.6,vqc,25,v0_d2_g5,best_ema,1000,2000,-0.2683091466457551,0.019010570642990176,-0.2682633682749989,0.01941149229589649,1.0
0.6,vqc,25,v0_d2_g5,best_ema,5000,2000,-0.2683091466457551,0.008501785649757584,-0.26812264973006167,0.008750430289219163,1.0
0.6,vqc,25,v0_d2_g5,best_ema,10000,2000,-0.2683091466457551,0.006011670285138065,-0.26828332499413066,0.006079803198891186,1.0
0.6,qsnn,26,q0_m90_d2_g5,best_ema,100,2000,-0.13889937470561406,0.027380163588137715,-0.13866813411586462,0.027347814393940427,0.9985
0.6,qsnn,26,q0_m90_d2_g5,best_ema,500,2000,-0.13889937470561406,0.012244781403628098,-0.13861371776000142,0.011909644622768435,1.0
0.6,qsnn,26,q0_m90_d2_g5,best_ema,1000,2000,-0.13889937470561406,0.00865836796465236,-0.1388943350647821,0.00885115353207054,1.0
0.6,qsnn,26,q0_m90_d2_g5,best_ema,5000,2000,-0.13889937470561406,0.0038721398686338347,-0.13880027317585966,0.003877479551928174,1.0
0.6,qsnn,26,q0_m90_d2_g5,best_ema,10000,2000,-0.13889937470561406,0.002738016358813772,-0.13890357943668716,0.002717624832563343,1.0
0.6,vqc,26,v0_d2_g5,best_ema,100,2000,-0.34662841605152034,0.06389595180135707,-0.346396434149653,0.06492700033488154,1.0
0.6,vqc,26,v0_d2_g5,best_ema,500,2000,-0.34662841605152034,0.02857513834297691,-0.3467025389642548,0.028205911568279483,1.0
0.6,vqc,26,v0_d2_g5,best_ema,1000,2000,-0.34662841605152034,0.020205674095662696,-0.3464698841561707,0.020036480195863047,1.0
0.6,vqc,26,v0_d2_g5,best_ema,5000,2000,-0.34662841605152034,0.009036252161821676,-0.34675446779617103,0.009224328574572681,1.0
0.6,vqc,26,v0_d2_g5,best_ema,10000,2000,-0.34662841605152034,0.006389595180135706,-0.3468129184098191,0.006374637483064161,1.0
0.6,qsnn,27,q0_m90_d2_g5,best_ema,100,2000,-0.14348013525120412,0.02797634043632052,-0.14410913346515566,0.02807531638854859,1.0
0.6,qsnn,27,q0_m90_d2_g5,best_ema,500,2000,-0.14348013525120412,0.012511399795457763,-0.14334127006101724,0.012183998903196666,1.0
0.6,qsnn,27,q0_m90_d2_g5,best_ema,1000,2000,-0.14348013525120412,0.008846895637504168,-0.14361827730309384,0.008579186016211757,1.0
0.6,qsnn,27,q0_m90_d2_g5,best_ema,5000,2000,-0.14348013525120412,0.003956452007061131,-0.1435214195283028,0.0038832405703883932,1.0
0.6,qsnn,27,q0_m90_d2_g5,best_ema,10000,2000,-0.14348013525120412,0.002797634043632052,-0.14346288887074618,0.0027994906229986747,1.0
