seed,model,epoch,loss_d,loss_g,grad_norm_d,grad_norm_g,discriminator_success,helstrom_gap,output_mass_real,output_mass_fake,fidelity,trace_distance,purity,purity_error,bell_population,bell_population_error,negativity,negativity_error,pauli_correlation_mae,helstrom_success,trace_drift,hermiticity_drift,min_eigenvalue,seconds,generator_parameters,discriminator_parameters,best_fidelity,min_trace_distance,final_window_fidelity,final_window_trace_distance,epoch_fidelity_099,epoch_trace_distance_005
0,qsnn,400,-0.4999877210776436,0.018456729631190272,0.001038499113847048,0.003614237675208228,0.49992849345132845,0.2243230430780931,0.7979805464080969,0.7966751548913373,0.773763817367783,0.448503073058843,0.8306263109993568,0.31062631099935667,0.7111132876268985,0.011113287626898227,0.27221076575788383,0.0722107657578838,0.0889974339591485,0.7242515365294215,1.1102230246251565e-16,5.574148097116891e-18,0.007703769641962719,38.765680900076404,48,46,0.8709134558816521,0.2750435474621071,0.7416566225543266,0.4187002960746417,-1,-1
0,vqc,400,-0.4658836522240951,0.6522462085051511,0.21113647846905276,0.12570202611506295,0.4643539326198991,0.3328043448053528,1.0000000000000009,1.0000000000000013,0.5949801649771663,0.5943165548505037,0.8056176354474844,0.2856176354474843,0.45140845230774485,0.24859154769225544,0.17378277389378796,0.026217226106212077,0.33145539692300713,0.7971582774252519,0.0,2.7755575615628914e-17,0.003108937320987671,56.30705110006966,48,48,0.8541171527905164,0.27266613503464554,0.6792537402929513,0.4822958395859972,-1,-1
1,qsnn,400,-0.500176648868651,-0.003856185831631387,0.004102114689232075,0.005706397106727989,0.5000807590669325,0.3223754734910804,0.8295762229112237,0.8177091331617528,0.5172311453130697,0.6449124651160258,0.5395974628267627,0.019597462826762557,0.14853205573866926,0.5514679442613311,0.027297688912781327,0.1727023110872187,0.7352905923484411,0.8224562325580129,0.0,1.3877787807814457e-17,0.011932803908692828,55.4467505000066,48,46,0.890975493775329,0.2420314851325235,0.5523170741738566,0.6154069806238371,-1,-1
1,vqc,400,-0.46333878959449415,-0.7579918689017984,0.15256795502781778,0.10010154632400431,0.46099837729108706,0.3062630694040407,0.9999999999999992,0.9999999999999993,0.6657899045405167,0.5345228933902555,0.8711485035789517,0.35114850357895155,0.6297568980981536,0.07024310190184668,0.26716811991250355,0.06716811991250352,0.09365746920246204,0.7672614466951277,2.220446049250313e-16,2.7755575615628914e-17,0.001006188173354949,63.879453300032765,48,48,0.8183809124505685,0.2870710946070219,0.6970932506171648,0.47977647613283353,-1,-1
2,qsnn,400,-0.4990007959836598,-0.011325821884321297,0.006258093735029306,0.004106266561425905,0.4989248458309836,0.32543176513900496,0.8242319432309626,0.8237682260996363,0.5019819258872985,0.6487132219399772,0.8082211027425721,0.28822110274257196,0.3403120471728775,0.3596879528271228,0.06735820220569184,0.13264179779430818,0.47958393710283015,0.8243566109699886,0.0,2.190760159195322e-17,0.003516749994719035,53.57605989999138,48,46,0.8989056292450173,0.25447121896299585,0.6562715220184556,0.5232337702031822,-1,-1
2,vqc,400,-0.502077566826222,-0.9057901577158455,0.12081776004758575,0.10859534160015959,0.49724847709600395,0.2893551957288307,0.9999999999999991,0.9999999999999992,0.6174263488274925,0.5732073456496694,0.5080695912719433,0.01193040872805684,0.31044778917293314,0.38955221082706715,0.06868950540893051,0.13131049459106953,0.5194029477694228,0.7866036728248347,2.220446049250313e-16,8.25797673413004e-18,0.01009071175215348,66.09640879998915,48,48,0.8471642009895249,0.19965592898212306,0.646862648185102,0.5231229822067573,-1,-1
3,qsnn,400,-0.4998991643299028,-0.04656897125267001,0.002302063914494215,0.0034297383575336705,0.4998395163417812,0.3175354071150038,0.817602578275322,0.8236108188385333,0.5625041407209511,0.63474984691357,0.8471224887460896,0.3271224887460895,0.4405152608242535,0.25948473917574677,0.13931985883349124,0.0606801411665088,0.3459796522343288,0.817374923456785,0.0,1.3877787807814457e-17,0.0011655059722428644,55.8187413001433,48,46,0.8577458607184358,0.2564272385207003,0.6482702412605378,0.533946463423943,-1,-1
3,vqc,400,-0.4946479327883135,-0.9340635736741945,0.06763241188955887,0.06701852342170299,0.4928070447748299,0.14583802903372994,1.0000000000000007,1.0000000000000007,0.8320301253706538,0.27729014761711973,0.6495820848945804,0.12958208489458023,0.7303424193710895,0.03034241937108917,0.27756578866324066,0.07756578866324063,0.09312051392639835,0.6386450738085598,0.0,6.938893903907228e-18,0.0008577581673815936,60.85837829997763,48,48,0.8320301253706538,0.27729014761711973,0.6426455723874385,0.5193010764591603,-1,-1
4,qsnn,400,-0.49765095735931086,-0.008609751430731505,0.016144760623662678,0.015469564407331472,0.4975177863302848,0.2618222257874299,0.8301073822942087,0.8408038150904299,0.6865215045266764,0.5186800242354295,0.7432560517287572,0.22325605172875707,0.5340996410923324,0.16590035890766786,0.12892158989223168,0.07107841010776836,0.2715236987250654,0.7593400121177147,0.0,1.3877787807814457e-17,0.002857433885981005,51.214500500122085,48,46,0.8559336901747215,0.26028487925866195,0.6290671967920684,0.5367981496369778,-1,-1
4,vqc,400,-0.49670999120668125,-0.9889407667643823,0.04115292913369901,0.025084760900996154,0.4967392273353167,0.16542858747154632,0.9999999999999991,0.9999999999999994,0.8200771252946151,0.3243356296137261,0.7552099757411752,0.23520997574117508,0.7725755772872719,0.0725755772872716,0.2848211960300644,0.08482119603006436,0.09730516093000485,0.662167814806863,2.220446049250313e-16,2.4881389906862708e-17,0.000415990856446962,59.80129300011322,48,48,0.8533111678669514,0.26945513248994435,0.6763963338548822,0.4829473480123572,-1,-1
5,qsnn,400,-0.4995069975586516,-0.016077315468795872,0.0032615872268002563,0.0025923121371466793,0.4994715046380405,0.2445519520366491,0.8158502293363848,0.8181340287805182,0.7156216172632321,0.4880469133493792,0.7554248670087755,0.2354248670087754,0.5844298629689747,0.11557013703102559,0.12733244316729028,0.07266755683270976,0.17985317229923367,0.7440234566746896,0.0,8.759913820083509e-18,0.0023007026350318435,39.22003129986115,48,46,0.886721170967704,0.2808324091552634,0.7037245346106662,0.4597411360048276,-1,-1
5,vqc,400,-0.5041206199508692,-0.9264139190082994,0.09972086657813115,0.05293692853418855,0.5051073770211763,0.3260582940296567,0.9999999999999984,0.9999999999999988,0.5280028828289729,0.6623313421016659,0.8574738318727823,0.3374738318727821,0.40354116600674655,0.29645883399325373,0.3725152587133095,0.17251525871330944,0.3952784453243381,0.8311656710508329,2.220446049250313e-16,1.4787860723992798e-17,0.0008093168234075742,52.71830249996856,48,48,0.8637830059979702,0.21609908902579825,0.5386781201215289,0.6293473916236689,-1,-1
6,qsnn,400,-0.4997323588853448,-0.04210760247212819,0.0027041277458269815,0.002995772959268024,0.49969508570644894,0.2129784097590226,0.8266338331649815,0.8287495901528372,0.7385392897410151,0.42534699093094314,0.8848867634655436,0.3648867634655435,0.7837031279753606,0.08370312797536028,0.33156794855968447,0.13156794855968443,0.11160417063381374,0.7126734954654715,2.220446049250313e-16,7.98022241962072e-18,0.0011319497867996518,45.42703050002456,48,46,0.9373545880011527,0.148358289338638,0.5874232993277443,0.5450221652099443,-1,-1
6,vqc,400,-0.4895916713082564,-0.9711712576057911,0.07655019352399518,0.03253183594132579,0.4906142383381081,0.23631339565085246,1.0000000000000002,1.0000000000000004,0.6769595556237124,0.4538552679779212,0.7554409044100745,0.23544090441007437,0.6141355956926604,0.08586440430733988,0.3077086598239634,0.10770865982396335,0.2130325487344139,0.7269276339889605,2.220446049250313e-16,5.551115123125783e-17,0.000463998635213918,65.1946919998154,48,48,0.8500033235257908,0.23704262513842386,0.712961684338955,0.438606566247564,-1,-1
7,qsnn,400,-0.4999737258934629,-0.03832063165120503,0.001976446776169979,0.005346275303719862,0.49977182449392876,0.1847434585835802,0.8269382140213719,0.8311226996699894,0.8017163430954182,0.36903056615501806,0.8153375833679339,0.2953375833679338,0.7702744495751892,0.07027444957518891,0.3423169366482419,0.14231693664824188,0.09369926610025196,0.684515283077509,2.220446049250313e-16,6.938893903907228e-18,0.0025839546443585243,48.9309549999889,48,46,0.8310276842714784,0.3027925446532369,0.7033706131274196,0.47862089181880946,-1,-1
7,vqc,400,-0.48756187407095114,-0.9521053790183632,0.09363453065858596,0.03383606658361613,0.487796251938321,0.24509925330511706,0.9999999999999988,0.9999999999999991,0.7247866649996155,0.46579101048687604,0.7713646212050385,0.25136462120503833,0.6101423827580783,0.08985761724192198,0.3238503175557173,0.12385031755571727,0.20460632043906127,0.732895505243438,2.220446049250313e-16,1.3877787807814457e-17,0.0036740356357791246,60.13338699983433,48,48,0.8351020432662108,0.2266108568534358,0.7099730698184438,0.46379960159823386,-1,-1
