angle_degrees,fixed_pauli_measurement,fixed_pauli_success,helstrom_success,noise_model,noise_strength,phase_degrees,qsnn_helstrom_gap,qsnn_min_povm_eigenvalue,qsnn_success,qsnn_success_1024_shots,qsnn_success_128_shots,qsnn_success_512_shots,qsnn_train_seconds,qsnn_weighted_leakage,seed,unitary_helstrom_gap,unitary_success
15.0,X:+->1,0.5516755200238513,0.5652630961100258,depolarizing,0.0,37.0,0.00027234244952967224,0.0002495646141545272,0.5649907536604961,0.564453125,0.6015625,0.57421875,0.3215862999204546,0.00025179918628753795,0,3.064215547965432e-14,0.5652630961099951
15.0,X:+->1,0.5516755200238513,0.5652630961100258,depolarizing,0.0,37.0,0.00027391874621751633,0.0002494807897125226,0.5649891773638083,0.56787109375,0.5703125,0.5625,0.3333060999866575,0.00025163557007712445,1,2.220446049250313e-15,0.5652630961100236
15.0,X:+->1,0.5516755200238513,0.5652630961100258,depolarizing,0.0,37.0,0.0002715292177973838,0.0002495871683144569,0.5649915668922284,0.57568359375,0.55078125,0.5732421875,0.33286069985479116,0.0002518822489537831,2,1.7763568394002505e-14,0.565263096110008
15.0,X:+->1,0.5516755200238513,0.5652630961100258,depolarizing,0.0,37.0,0.000302317654392259,0.0002499781485566406,0.5649607784556335,0.5830078125,0.59375,0.544921875,0.3226908999495208,0.00025257770520581424,3,3.68594044175552e-14,0.5652630961099889
15.0,X:+->1,0.5516755200238513,0.5652630961100258,depolarizing,0.0,37.0,0.0002739076297966214,0.0002494834923893946,0.5649891884802292,0.5380859375,0.578125,0.5458984375,0.31762879993766546,0.0002516486590447564,4,1.2878587085651816e-14,0.5652630961100129
15.0,X:+->1,0.5490917440226588,0.5619999413045245,depolarizing,0.05,37.0,0.0002655064396708262,0.0002505648506560786,0.5617344348648536,0.552734375,0.6015625,0.572265625,0.316841599997133,0.00025265500742976954,0,2.3092638912203256e-14,0.5619999413045014
15.0,X:+->1,0.5490917440226588,0.5619999413045245,depolarizing,0.05,37.0,0.0002670258239708678,0.00025056746797762685,0.5617329154805536,0.564453125,0.5703125,0.560546875,0.3199472001288086,0.00025254609288749563,1,4.551914400963142e-15,0.5619999413045199
15.0,X:+->1,0.5490917440226588,0.5619999413045245,depolarizing,0.05,37.0,0.0002647263967130442,0.00025056263852566465,0.5617352149078114,0.572265625,0.55078125,0.5712890625,0.3266927998047322,0.0002527193829805485,2,2.2870594307278225e-14,0.5619999413045016
15.0,X:+->1,0.5490917440226588,0.5619999413045245,depolarizing,0.05,37.0,0.0002938617387546749,0.0002505652549687827,0.5617060795657698,0.57958984375,0.59375,0.54296875,0.32059499993920326,0.0002531784019677019,3,4.7406523151494184e-14,0.5619999413044771
15.0,X:+->1,0.5490917440226588,0.5619999413045245,depolarizing,0.05,37.0,0.0002670143308867168,0.00025056792436205954,0.5617329269736377,0.56103515625,0.578125,0.5439453125,0.31819000001996756,0.0002525568442787729,4,1.3988810110276972e-14,0.5619999413045105
15.0,X:+->1,0.5465079680214663,0.5587367864990233,depolarizing,0.1,37.0,0.0002586961956341227,0.00025166813664801325,0.5584780903033891,0.5576171875,0.6015625,0.568359375,0.3180264001712203,0.00025357654385643746,0,1.8318679906315083e-14,0.5587367864990049
15.0,X:+->1,0.5465079680214663,0.5587367864990233,depolarizing,0.1,37.0,0.00026013878515751543,0.00025167116726668967,0.5584766477138657,0.56103515625,0.5546875,0.556640625,0.3221187999006361,0.000253478431228471,1,9.43689570931383e-15,0.5587367864990138
15.0,X:+->1,0.5465079680214663,0.5587367864990233,depolarizing,0.1,37.0,0.0002579555619682816,0.0002516660405171706,0.558478830937055,0.56884765625,0.55078125,0.5673828125,0.32822120003402233,0.000253634896888455,2,3.0753177782116836e-14,0.5587367864989925
15.0,X:+->1,0.5465079680214663,0.5587367864990233,depolarizing,0.1,37.0,0.00028554694383520207,0.0002516700818103751,0.558451239555188,0.576171875,0.59375,0.5390625,0.31825120002031326,0.0002540530649964845,3,5.784261958297066e-14,0.5587367864989654
15.0,X:+->1,0.5465079680214663,0.5587367864990233,depolarizing,0.1,37.0,0.00026012744596803916,0.00025167133300397864,0.5584766590530552,0.5576171875,0.578125,0.5400390625,0.3265581000596285,0.0002534878987094369,4,1.765254609153999e-14,0.5587367864990056
15.0,X:+->1,0.5413404160190811,0.5522104768880206,depolarizing,0.2,37.0,0.0002450906704107858,0.0002539103459117288,0.5519653862176098,0.55126953125,0.59375,0.5625,0.32817340013571084,0.0002554793571759584,0,1.8984813721090177e-14,0.5522104768880016
15.0,X:+->1,0.5413404160190811,0.5522104768880206,depolarizing,0.2,37.0,0.00024637851044118086,0.0002539135681490712,0.5519640983775794,0.5546875,0.546875,0.55078125,0.32315560011193156,0.00025540111181049374,1,2.853273173286652e-14,0.5522104768879921
15.0,X:+->1,0.5413404160190811,0.5522104768880206,depolarizing,0.2,37.0,0.00024442928734724756,0.0002539083427036046,0.5519660476006734,0.5625,0.54296875,0.5615234375,0.3188897999934852,0.0002555263275073605,2,5.762057497804562e-14,0.552210476887963
15.0,X:+->1,0.5413404160190811,0.5522104768880206,depolarizing,0.2,37.0,0.0002689356572332935,0.0002539118791775121,0.5519415412307873,0.56982421875,0.5859375,0.533203125,0.3185344999656081,0.00025586565167379227,3,7.271960811294775e-14,0.5522104768879479
15.0,X:+->1,0.5413404160190811,0.5522104768880206,depolarizing,0.2,37.0,0.000246367755888266,0.00025391356977271033,0.5519641091321323,0.55126953125,0.5703125,0.5341796875,0.32953669992275536,0.0002554084202297524,4,3.0531133177191805e-14,0.5522104768879901
15.0,X:+->1,0.536172864016696,0.5456841672770181,depolarizing,0.3,37.0,0.00023150382037551154,0.00025619742226926025,0.5454526634566426,0.53662109375,0.5859375,0.5556640625,0.31884219986386597,0.00025746175158258833,0,3.8968828164342995e-14,0.5456841672769791
15.0,X:+->1,0.536172864016696,0.5456841672770181,depolarizing,0.3,37.0,0.00023263556904995486,0.0002562010243256592,0.5454515317079681,0.54833984375,0.5546875,0.54296875,0.3157351000700146,0.00025740144134761556,1,1.1546319456101628e-14,0.5456841672770065
15.0,X:+->1,0.536172864016696,0.5456841672770181,depolarizing,0.3,37.0,0.00023092234335142514,0.00025619524083296227,0.5454532449336666,0.55615234375,0.53515625,0.5537109375,0.3202857000287622,0.0002574982654560687,2,5.240252676230739e-14,0.5456841672769657
15.0,X:+->1,0.536172864016696,0.5456841672770181,depolarizing,0.3,37.0,0.0002523481452900711,0.00025619640908375205,0.545431819131728,0.5634765625,0.578125,0.525390625,0.3248322999570519,0.0002577646096478259,3,1.0824674490095276e-13,0.5456841672769098
15.0,X:+->1,0.536172864016696,0.5456841672770181,depolarizing,0.3,37.0,0.00023262561826775663,0.000256200951496766,0.5454515416587503,0.5185546875,0.5625,0.5263671875,0.31509330007247627,0.0002574069127343481,4,5.417888360170764e-14,0.5456841672769639
30.0,X:+->1,0.5998294387559117,0.6294095225512604,depolarizing,0.0,37.0,0.0004134145846463877,0.00022987487177568395,0.628996107966614,0.626953125,0.671875,0.6376953125,0.32240049983374774,0.00023190823737467836,0,1.2212453270876722e-15,0.6294095225512591
30.0,X:+->1,0.5998294387559117,0.6294095225512604,depolarizing,0.0,37.0,0.0004177715752807787,0.00022988252269463957,0.6289917509759796,0.630859375,0.625,0.6259765625,0.32224779995158315,0.0002318064423577626,1,8.881784197001252e-16,0.6294095225512595
30.0,X:+->1,0.5998294387559117,0.6294095225512604,depolarizing,0.0,37.0,0.0004108216218844385,0.0002298678402981948,0.6289987009293759,0.63916015625,0.62109375,0.6357421875,0.3168017999269068,0.00023196873775660487,2,2.1316282072803006e-14,0.629409522551239
30.0,X:+->1,0.5998294387559117,0.6294095225512604,depolarizing,0.0,37.0,0.000432056260418201,0.00022994801942116257,0.6289774662908422,0.64599609375,0.66015625,0.6103515625,0.32710180012509227,0.0002324600002026611,3,1.2212453270876722e-15,0.6294095225512591
30.0,X:+->1,0.5998294387559117,0.6294095225512604,depolarizing,0.0,37.0,0.00041746563483013865,0.00022988473968218892,0.6289920569164302,0.62744140625,0.6484375,0.6259765625,0.32007310003973544,0.00023181604774841214,4,2.55351295663786e-14,0.6294095225512348
30.0,X:+->1,0.5948379668181161,0.6229390464236974,depolarizing,0.05,37.0,0.0003995805531969987,0.00023170035290366966,0.6225394658705004,0.62109375,0.6640625,0.6318359375,0.3221678000409156,0.00023357437439885942,0,1.4432899320127035e-15,0.6229390464236959
30.0,X:+->1,0.5948379668181161,0.6229390464236974,depolarizing,0.05,37.0,0.0004037231048891199,0.0002317096341331841,0.6225353233188082,0.625,0.6171875,0.6201171875,0.32569169998168945,0.00023348273295298316,1,1.1102230246251565e-16,0.6229390464236972
30.0,X:+->1,0.5948379668181161,0.6229390464236974,depolarizing,0.05,37.0,0.000397115527447256,0.00023169291598002702,0.6225419308962501,0.63330078125,0.61328125,0.6298828125,0.3145212000235915,0.00023362924015851716,2,2.5868196473766147e-14,0.6229390464236715
30.0,X:+->1,0.5948379668181161,0.6229390464236974,depolarizing,0.05,37.0,0.0004172771065852343,0.00023166779746321717,0.6225217693171121,0.64013671875,0.65234375,0.6044921875,0.320560900028795,0.00023403011285172415,3,3.4416913763379853e-15,0.6229390464236939
30.0,X:+->1,0.5948379668181161,0.6229390464236974,depolarizing,0.05,37.0,0.00040343194994374443,0.00023171104215197403,0.6225356144737536,0.62158203125,0.640625,0.6025390625,0.3228122000582516,0.00023349102426639678,4,2.6978419498391304e-14,0.6229390464236704
30.0,X:+->1,0.5898464948803205,0.6164685702961343,depolarizing,0.1,37.0,0.0003857486115341757,0.00023356082842114354,0.6160828216846002,0.6142578125,0.65625,0.6259765625,0.32694269996136427,0.00023527987263616268,0,2.886579864025407e-15,0.6164685702961314
30.0,X:+->1,0.5898464948803205,0.6164685702961343,depolarizing,0.1,37.0,0.0003896763017678939,0.00023357068520567714,0.6160788939943664,0.6181640625,0.609375,0.6142578125,0.340446500107646,0.00023519752093859037,1,1.1102230246251565e-16,0.6164685702961342
30.0,X:+->1,0.5898464948803205,0.6164685702961343,depolarizing,0.1,37.0,0.00038341164770017144,0.00023355349015800975,0.6160851586484342,0.62646484375,0.60546875,0.6240234375,0.31907379999756813,0.0002353295232658814,2,3.175237850427948e-14,0.6164685702961026
